CB;CI;PRODUCTO;TIPO;MODELO/ESPECIFICACIÓN;REFERENCIA;MARCA;EXISTENCIAS INICIALES;ENTRADAS;SALIDAS;STOCK;PRECIO;ESTANTE;NIVEL;LADO;DESCRIPCION LARGA;FECHA;NOMBRE PROV;PROVEEDOR
1000001;100001;ABRAZADERA ;BARRA ESTAB MET EN L;MAZDA 323-;B097-34-160;NAC;4;0;0;4;;B3;6;;ABRAZADERA BARRA ESTAB MET EN LMAZDA 323-B097-34-160NAC;-;-;-
1000002;100002;ABRAZADERA ;BARRA ESTAB MET ;MAZDA 323 83/04-;15124;INDYMETAL;9;0;5;4;;B3;6;;ABRAZADERA BARRA ESTAB MET MAZDA 323 83/04-15124INDYMETAL;-;-;-
1000003;100003;AMORTIGUADOR ;DEL DER;MAZDA CX5-;KF69-34-700; KMX;2;0;0;2;;A5;;;AMORTIGUADOR DEL DERMAZDA CX5-KF69-34-700 KMX;-;-;-
1000004;100004;AMORTIGUADOR;DEL IZQ;MAZDA CX5-;KF69-34-900; KMX;2;0;0;2;;A5;;;AMORTIGUADORDEL IZQMAZDA CX5-KF69-34-900 KMX;-;-;-
1000005;100005;AMORTIGUADOR;DEL DER-IZQ;MAZDA B2.0-B2.2-B2.2 INY-BT50 4X2-2.2-;UB39-34-700; KMX;1;0;0;1;;A5;;;AMORTIGUADORDEL DER-IZQMAZDA B2.0-B2.2-B2.2 INY-BT50 4X2-2.2-UB39-34-700 KMX;-;-;-
1000006;100006;SENSOR ABS ;DEL DER ;MAZDA 2.6-;UM53-43-70XA; MP;1;0;1;0;;C2;CAJON 1;;SENSOR ABS DEL DER MAZDA 2.6-UM53-43-70XA MP;-;-;-
1000007;100007;ABRAZADERA ;BARRA ESTAB MET ;MAZDA B2.0-B2.2-BT50 2.2-;UB39-34-155C; NAC;22;16;3;35;;B3;6;;ABRAZADERA BARRA ESTAB MET MAZDA B2.0-B2.2-BT50 2.2-UB39-34-155C NAC;01/10/2025;IMPORTVILLA;CP-0109
1000008;100008;AMORTIGUADOR ;TRAS DER-IZQ ;MAZDA CX3-;D10E-28-700A; KMX D651;2;0;0;2;;A5;;;AMORTIGUADOR TRAS DER-IZQ MAZDA CX3-D10E-28-700A KMX D651;-;-;-
1000009;100009;ROTULA;__;ALLEGRO MOD 95/99-SEPIA 1-;B01A-34-550A;KMX;2;0;2;0;;;;;ROTULA__ALLEGRO MOD 95/99-SEPIA 1-B01A-34-550AKMX;-;-;-
1000010;100010;ABRAZADERA ;BARRA ESTAB MET ;MAZDA BT50- ;23180;BULIRA;4;0;1;3;;B3;6;;ABRAZADERA BARRA ESTAB MET MAZDA BT50- 23180BULIRA;-;-;-
1000011;100011;ABRAZADERA ;BARRA ESTAB MET ;MAZDA B2.6-BT50-;18147A; INCOLCA;18;0;6;12;;B3;6;;ABRAZADERA BARRA ESTAB MET MAZDA B2.6-BT50-18147A INCOLCA;-;-;-
1000012;100012;BRAZO AXIAL ;__;MAZDA 323 86/04-;BF67-32-240; KMX;2;0;2;0;;A4;6;Derecho;BRAZO AXIAL __MAZDA 323 86/04-BF67-32-240 KMX;-;-;-
1000013;100013;PASADOR TIJERA ;SUP ;MAZDA B1.6-B2.0-B2.2 92/07-;0223-34-411; KMX;;0;2;-2;;;;;PASADOR TIJERA SUP MAZDA B1.6-B2.0-B2.2 92/07-0223-34-411 KMX;-;-;-
1000014;100014;PERA PRESION ACEITE ;PACHA VERDE;MAZDA 3-M 5-M 6-FORD E.S-;LF0118501; OSSCA;;0;4;-4;;;;;PERA PRESION ACEITE PACHA VERDEMAZDA 3-M 5-M 6-FORD E.S-LF0118501 OSSCA;-;-;-
1000015;100015;ABRAZADERA;BUJE TIJERA O PUÑO;MAZDA 323-;B092-34-201; DYD;2;0;0;2;;B3;6;;ABRAZADERABUJE TIJERA O PUÑOMAZDA 323-B092-34-201 DYD;-;-;-
1000016;100016;BOMBA GASOLINA COMPLETA ;__;MAZDA 2 1.5 07/14-;EM1109; MASTER INJ;1;0;1;0;;A5;;;BOMBA GASOLINA COMPLETA __MAZDA 2 1.5 07/14-EM1109 MASTER INJ;-;-;-
1000017;100017;ABRAZADERA;BUJE TIJERA O PUÑO;MAZDA 323-TODOS;B092-34-201;INDYMETAL;38;0;9;29;;B3;6;;ABRAZADERABUJE TIJERA O PUÑOMAZDA 323-TODOSB092-34-201INDYMETAL;-;-;-
1000018;100018;ABRAZADERA ;CAJA DIRECCION MET;MAZDA 323-TODOS-;BF67-32-133;INDYMETAL;2;22;6;18;;B3;6;;ABRAZADERA CAJA DIRECCION METMAZDA 323-TODOS-BF67-32-133INDYMETAL;29/07/2025;BULIRA;CP-0014
1000019;100019;BOMBA GASOLINA COMPLETA ;__;MAZDA 6-;LF17-13-35ZA; MASTER INJ;2;0;0;2;;A5;;;BOMBA GASOLINA COMPLETA __MAZDA 6-LF17-13-35ZA MASTER INJ;-;-;-
1000020;100020;ABRAZADERA ;METALICA TORNILLO;3/10 mm 1/2 PULGADA-;3/10mm; K-SEAL;;0;0;0;;;;;ABRAZADERA METALICA TORNILLO3/10 mm 1/2 PULGADA-3/10mm K-SEAL;-;-;-
1000021;100021;ABRAZADERA ;METALICA TORNILLO;NO 21 2 1/4 UNIVERSAL;100952;SIN ESPECIFICACIÓN;;0;0;0;;;;;ABRAZADERA METALICA TORNILLONO 21 2 1/4 UNIVERSAL100952SIN ESPECIFICACIÓN;-;-;-
1000022;100022;ABRAZADERA ;METALICA TORNILLO;28 2 1/4 57MM-;NO28; NAC;11;0;0;11;;A3;;;ABRAZADERA METALICA TORNILLO28 2 1/4 57MM-NO28 NAC;-;-;-
1000023;100023;ABRAZADERA ;METALICA TORNILLO;32 2 1/2 63MM-;NO32; NAC;;0;1;-1;;;;;ABRAZADERA METALICA TORNILLO32 2 1/2 63MM-NO32 NAC;-;-;-
1000024;100024;ABRAZADERA ;METALICA TORNILLO;36 2 3/4 113/16 46-70MM-;NO36; NAC;21;0;1;20;;;;;ABRAZADERA METALICA TORNILLO36 2 3/4 113/16 46-70MM-NO36 NAC;-;-;-
1000025;100025;BOMBA PRINCIPAL EMBRAGUE;__;ALLEGRO 00/08-MAT-MIL-FORD L-;GA2A-41-990; FV ;2;0;1;1;;A3;2;;BOMBA PRINCIPAL EMBRAGUE__ALLEGRO 00/08-MAT-MIL-FORD L-GA2A-41-990 FV ;-;-;-
1000026;100026;GUAYA FRENO ;CENTRAL O PRINCI;MAZDA B 2.0-B 2.2-;UB39-44-150B; BYG;1;0;0;1;;A5;;;GUAYA FRENO CENTRAL O PRINCIMAZDA B 2.0-B 2.2-UB39-44-150B BYG;-;-;-
1000027;100027;CORREA ACCESORIOS;__;CAMIONETAS-;17420GATES; GATES;1;2;1;2;;A2;T;;CORREA ACCESORIOS__CAMIONETAS-17420GATES GATES;06/10/2025;HERMAGU;CP-0038
1000028;100028;ABRAZADERA ;PLASTICA GRANDE 38CMX7;TODOS-;100068; NAC;;0;19;-19;;;;;ABRAZADERA PLASTICA GRANDE 38CMX7TODOS-100068 NAC;-;-;-
1000029;100029;ABRAZADERA ;PLASTICA;25 CM PEQ TODOS-;100029; NAC;;100;6;94;;;;;ABRAZADERA PLASTICA25 CM PEQ TODOS-100029 NAC;06/11/2025;MIC;CP-0060
1000030;100030;ACEITE MOTOR;20W503784 ML (6 GNES);TODOS;300983-APISN; MOTOCRAFT;;0;0;0;;;;;ACEITE MOTOR20W503784 ML (6 GNES)TODOS300983-APISN MOTOCRAFT;-;-;-
1000031;100031;BALINERA SOPORTE AMORTIGUADOR;__;MAZDA 3-M 5 05/14-;B39D-34-38X; TODOS;2;0;2;0;;;;;BALINERA SOPORTE AMORTIGUADOR__MAZDA 3-M 5 05/14-B39D-34-38X TODOS;-;-;-
1000032;100032;BRONCE CAJA CAMBIOS ;__;MAZDA 323 1-2-ALL 1-2-B2.0 5ta-;F520-17-245C; JM;8;1;3;6;;A1;5;Atrás;BRONCE CAJA CAMBIOS __MAZDA 323 1-2-ALL 1-2-B2.0 5ta-F520-17-245C JM;18/08/2025;0;-
1000033;100033;BOMBA PRINCIPAL EMBRAGUE;__;ALLEGRO 00/08-MAT-MIL-FORD L-;GA2A-41-990; BGF ;4;0;3;1;;A3;2;;BOMBA PRINCIPAL EMBRAGUE__ALLEGRO 00/08-MAT-MIL-FORD L-GA2A-41-990 BGF ;-;-;-
1000034;100034;KIT RODAMIENTO ;TRAS ;MAZDA B2.6-BT50 DIESEL-;UH7126175; OKAP;;0;1;-1;;;;;KIT RODAMIENTO TRAS MAZDA B2.6-BT50 DIESEL-UH7126175 OKAP;-;-;-
1000035;100035;ROTOR O CONEJO ;__;MAZDA 323 INY 98/04-;B61V-18-V05; SEOUL;8;0;2;6;;A2;3;;ROTOR O CONEJO __MAZDA 323 INY 98/04-B61V-18-V05 SEOUL;-;-;-
1000036;100036;EJE DE TRANSMISION COMPLETO ;DERECHO;MAZDA BT50 DIESEL-;FD-8-872A/218211;GAP;1;0;0;1;;B3;2;-;EJE DE TRANSMISION COMPLETO DERECHOMAZDA BT50 DIESEL-FD-8-872A/218211GAP;-;-;-
1000037;100037;RADIADOR MECANICO;__;MATSURI-MILENIUM-;FSJ3-15-200; GLOBAL;2;5;1;6;;B3;2;-;RADIADOR MECANICO__MATSURI-MILENIUM-FSJ3-15-200 GLOBAL;06/11/2025;ABIN;CP-0001
1000038;100038;PASTA DIRECCIONAL BOMPER ;BCA;MAZDA 323-626 NR-CAMIONETAS/96-;00-216-1610N-C; LUCID;20;0;11;9;;B1;;;PASTA DIRECCIONAL BOMPER BCAMAZDA 323-626 NR-CAMIONETAS/96-00-216-1610N-C LUCID;-;-;-
1000039;100039;CORREA ACCESORIOS;__;CAMIONETAS-;17365;FELD;6;0;3;3;;A2;T;;CORREA ACCESORIOS__CAMIONETAS-17365FELD;-;-;-
1000040;100040;CORREA ACCESORIOS;__;CAMIONETAS-;17365;GATES;2;4;0;6;;A2;T;;CORREA ACCESORIOS__CAMIONETAS-17365GATES;06/10/2025;HERMAGU;CP-0038
1000041;100041;PUNTA EJE L RUEDA ;24 EST X 31;MAZDA 6 2.5;T121829KX; TRANSEJES;1;0;1;0;;A2;5;Izquierdo;PUNTA EJE L RUEDA 24 EST X 31MAZDA 6 2.5T121829KX TRANSEJES;-;-;-
1000042;100042;PUNTA EJE L CAJA  ;DER 29 EST ;MAZDA 2-;T141828KX; TRANSEJES;;0;0;0;;;;;PUNTA EJE L CAJA  DER 29 EST MAZDA 2-T141828KX TRANSEJES;-;-;-
